tbl_SipIPPairConfig(tbl_SipIPPairConfig)

Export Time:2018/06/03 10:44:58

ID,Trunk No,IFM Module,Local server port,Remote IP1,Remote IP2,Remote IP3,Remote IP4,Remote URI,Master/Slave type,Remote IP1,Remote IP2,Remote IP3,Remote IP4,Second Remote URI,Second Master/Slave type,PBX Domain Name,IsDeleteTechprefix,Techprefix,Protocol Type,Reserved,PBX Equipment ID,Status
101,920,133,5060,10,201,146,24,10.201.146.24:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
102,921,133,5060,10,201,147,24,10.201.147.24:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
103,924,133,5060,10,201,146,26,10.201.146.26:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
104,925,133,5060,10,201,147,26,10.201.147.26:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
105,1720,133,5060,10,201,148,173,10.201.148.173:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
106,1721,133,5060,10,201,149,141,10.201.149.141:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
107,926,133,5060,10,201,146,27,10.201.146.27:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
108,927,133,5060,10,201,147,27,10.201.147.27:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
109,984,133,5060,10,201,146,92,10.201.146.92:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
110,985,133,5060,10,201,147,92,10.201.147.92:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
111,930,133,5060,10,201,146,29,10.201.146.29:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
112,931,133,5060,10,201,147,29,10.201.147.29:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
113,934,133,5060,10,201,146,31,10.201.146.31:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
114,935,133,5060,10,201,147,31,10.201.147.31:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
115,936,133,5060,10,201,146,32,10.201.146.32:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
116,937,133,5060,10,201,147,32,10.201.147.32:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
117,938,133,5060,10,201,146,33,10.201.146.33:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
118,939,133,5060,10,201,147,33,10.201.147.33:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
119,940,133,5060,10,201,146,67,10.201.146.67:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
120,941,133,5060,10,201,147,67,10.201.147.67:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
121,300,133,5060,10,215,40,205,10.215.40.205:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
122,914,133,5060,10,201,146,21,10.201.146.21:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
123,915,133,5060,10,201,147,21,10.201.147.21:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
124,944,133,5060,10,201,146,70,10.201.146.70:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
125,945,133,5060,10,201,147,70,10.201.147.70:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
126,310,133,5060,10,201,146,69,10.201.146.69,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
127,311,133,5060,10,201,147,69,10.201.147.69:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
128,1554,133,5060,10,201,148,39,10.201.148.39:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
129,1555,133,5060,10,201,149,39,10.201.149.39:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
130,948,133,5060,10,201,146,71,10.201.146.71:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
131,949,133,5060,10,201,147,71,10.201.147.71:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
132,946,133,5060,10,201,146,72,10.201.146.72:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
