tbl_SubTrkGrp(tbl_SubTrkGrp)

Export Time:2018/06/03 10:10:04

Trunk group number,Sub-route number,Priority level,Availability,Reserved,Status
858,858,'0,255,255,1
859,859,'0,255,255,1
860,860,'0,255,255,1
862,862,'0,255,255,1
864,864,'0,255,255,1
865,865,'0,255,255,1
866,866,'0,255,255,1
867,867,'0,255,255,1
868,868,'0,255,255,1
869,869,'0,255,255,1
870,870,'0,255,255,1
871,871,'0,255,255,1
872,872,'0,255,255,1
873,873,'0,255,255,1
874,874,'0,255,255,1
875,875,'0,255,255,1
876,876,'0,255,255,1
877,877,'0,255,255,1
880,880,'0,255,255,1
881,881,'0,255,255,1
882,882,'0,255,255,1
883,883,'0,255,255,1
884,884,'0,255,255,1
885,885,'0,255,255,1
886,886,'0,255,255,1
887,887,'0,255,255,1
888,888,'0,255,255,1
889,889,'0,255,255,1
890,889,'0,255,255,1
891,889,'0,255,255,1
892,889,'0,255,255,1
893,893,'0,255,255,1
894,894,'0,255,255,1
895,895,'0,255,255,1
896,896,'0,255,255,1
897,897,'0,255,255,1
898,898,'0,255,255,1
899,899,'0,255,255,1
900,900,'0,255,'0,1
901,901,'0,255,'0,1
902,902,'0,255,'0,1
903,903,'0,255,'0,1
904,904,'0,255,'0,1
905,905,'0,255,'0,1
906,906,'0,255,'0,1
907,907,'0,255,'0,1
910,910,'0,255,'0,1
911,911,'0,255,'0,1
912,912,'0,255,'0,1
913,913,'0,255,'0,1
914,914,'0,255,'0,1
915,915,'0,255,'0,1
916,916,'0,255,'0,1
917,917,'0,255,'0,1
918,918,'0,255,'0,1
919,919,'0,255,'0,1
920,920,'0,255,'0,1
921,921,'0,255,'0,1
922,922,'0,255,'0,1
923,923,'0,255,'0,1
924,924,'0,255,'0,1
925,925,'0,255,'0,1
926,926,'0,255,'0,1
927,927,'0,255,'0,1
930,930,'0,255,'0,1
931,931,'0,255,'0,1
932,932,'0,255,'0,1
933,933,'0,255,'0,1
934,934,'0,255,'0,1
935,935,'0,255,'0,1
936,936,'0,255,'0,1
937,937,'0,255,'0,1
938,938,'0,255,'0,1
939,939,'0,255,'0,1
940,940,'0,255,'0,1
941,941,'0,255,'0,1
944,944,'0,255,'0,1
945,945,'0,255,'0,1
946,946,'0,255,'0,1
947,947,'0,255,'0,1
948,948,'0,255,'0,1
949,949,'0,255,'0,1
950,950,'0,255,'0,1
951,951,'0,255,'0,1
