Route No.,Route Name,Subroute Sel.Mode,Per of Dir Subroutes,Percentage 2,Percentage 3,Percentage 4,1st sub-route,2nd sub-route,3rd sub-route,4th sub-route
706,ASCADE_Telenor_OsloU2,Select by percentage,50,50,0,0,81,83,None,None
707,ASCADE_Telenmor_Uncompressed,Select by percentage,50,50,0,0,80,81,None,None
708,ASCADE_Telenor_Compressed,Select by percentage,50,50,0,0,82,83,None,None
709,ASCADE_Telenor,Select by percentage,25,25,25,25,80,81,82,83
710,ASCADE_Bharti_Chennai_Uncompressed,Select by percentage,100,0,0,0,180,None,None,None
711,ASCADE_Bharti_Mumbai_Uncompressed,Select by percentage,100,0,0,0,181,None,None,None
712,ASCADE_Bharti_Delhi_Uncompressed,Select by percentage,100,0,0,0,182,None,None,None
713,ASCADE_Tata_India,Select by percentage,40,60,0,0,350,351,None,None
714,ASCADE_TATA_Voip,Select by percentage,100,0,0,0,222,None,None,None
715,ASCADE_Zain,Select by percentage,100,0,0,0,360,None,None,None
716,ASCADE_Bharti_Chennai,Select by percentage,100,0,0,0,180,None,None,None
717,ASCADE_Bharti_Mumbai,Select by percentage,100,0,0,0,181,None,None,None
718,ASCADE_Bharti_Delhi,Select by percentage,100,0,0,0,182,None,None,None
719,ASCADE_Bharti_Uncompressed,Select by percentage,40,30,30,0,180,181,182,None
720,ASCADE_Indosat,Select by percentage,50,50,0,0,370,371,None,None
721,ASCADE_Bharti,Select by percentage,40,30,30,0,180,181,182,None
722,ASCADE_Tata_Sonus_Uncompressed,Select by percentage,100,0,0,0,220,None,None,None
723,ASCADE_Sparkle,Select by percentage,100,0,0,0,330,None,None,None
724,ASCADE_Sparkle_VoIP,Select by percentage,100,0,0,0,340,None,None,None
725,ASCADE_Tata_Toronto_Compressed,Select by percentage,100,0,0,0,221,None,None,None
726,ASCADE_Tata_Sonus,Select by percentage,100,0,0,0,220,None,None,None
727,ASCADE_Tata_Toronto,Select by percentage,100,0,0,0,221,None,None,None
728,ASCADE_Tata_Uncompressed,Select by percentage,100,0,0,0,220,None,None,None
729,ASCADE_Tata_Compressed,Select by percentage,100,0,0,0,221,None,None,None
730,ASCADE_Tata,Select by percentage,50,50,0,0,220,221,None,None
731,ASCADE_Etisalat_AbuDhabiIS,Select by percentage,100,0,0,0,200,None,None,None
732,ASCADE_Etisalat_DubaiIS6,Select by percentage,100,0,0,0,201,None,None,None
733,ASCADE_Etisalat,Select by percentage,50,50,0,0,200,201,None,None
734,ASCADE_DU_HW1,Select by percentage,100,0,0,0,70,None,None,None
735,ASCADE_DU_HW2,Select by percentage,100,0,0,0,71,None,None,None
736,ASCADE_DU,Select by percentage,50,50,0,0,70,71,None,None
737,ASCADE_Qtel_IGW1,Select by percentage,100,0,0,0,110,None,None,None
738,ASCADE_Qtel_IGW2,Select by percentage,100,0,0,0,111,None,None,None
739,ASCADE_Qtel,Select by percentage,50,50,0,0,110,111,None,None
740,ASCADE_MirTelecom,Select by percentage,100,0,0,0,240,None,None,None
741,ASCADE_Invitel_PTL01,Select by percentage,100,0,0,0,140,None,None,None
743,ASCADE_OTISC1_Fixed,Select by percentage,100,0,0,0,58,None,None,None
744,ASCADE_OTISC2_Fixed,Select by percentage,100,0,0,0,59,None,None,None
745,ASCADE_OTISC_Fixed,Select by percentage,50,50,0,0,58,59,None,None
